SubjTrial,SubjectID,ExpNum,ItemNum,Response,TargetWord,TrialType,Syllogism,ListNum,digitMatch,RT,SyllogismSimple,ExpectedResponse,ResponseWasCorrect,excl.subj,excl.trial
1_34,1,Pilot-1,34,0,foundations,Homonymy,Dimatis,2,NA,2782,Dimatis,0,1,0,0
1_35,1,Pilot-1,35,0,movements,Homonymy,Barbara,2,NA,4471,Barbara,0,1,0,0
1_36,1,Pilot-1,36,1,doughnuts,Valid Filler,Darii,2,NA,2492,Darii,1,1,0,0
1_37,1,Pilot-1,37,0,steaks,Invalid Filler,Disamis*,2,NA,3058,Disamis,0,1,0,0
1_38,1,Pilot-1,38,1,examinations,Polysemy,Disamis,2,NA,2611,Disamis,0,0,0,0
1_39,1,Pilot-1,39,0,admissions,Homonymy,Barbara,2,NA,2714,Barbara,0,1,0,0
1_40,1,Pilot-1,40,0,sandwiches,Polysemy,Darii,2,NA,2348,Darii,0,1,0,0
1_41,1,Pilot-1,41,0,chickens,Polysemy,Datisi,2,NA,2495,Datisi,0,1,0,0
1_42,1,Pilot-1,42,0,dinosaurs,Valid Filler,Barbara,2,NA,3530,Barbara,1,0,0,0
1_43,1,Pilot-1,43,0,colors,Invalid Filler,Disamis*,2,NA,2667,Disamis,0,1,0,0
1_44,1,Pilot-1,44,0,mothers,Invalid Filler,Darii*,2,NA,2556,Darii,0,1,0,0
1_45,1,Pilot-1,45,1,suitcases,Valid Filler,Dimatis,2,NA,3415,Dimatis,1,1,0,0
1_46,1,Pilot-1,46,0,shapes,Invalid Filler,Disamis*,2,NA,2484,Disamis,0,1,0,0
1_47,1,Pilot-1,47,1,statues,Valid Filler,Datisi,2,NA,2708,Datisi,1,1,0,0
1_48,1,Pilot-1,48,0,organs,Invalid Filler,Barbara*,2,NA,2200,Barbara,0,1,0,0
1_49,1,Pilot-1,49,0,drivers,Invalid Filler,Barbara*,2,NA,2361,Barbara,0,1,0,0
1_50,1,Pilot-1,50,1,dresses,Invalid Filler,Darii*,2,NA,2960,Darii,0,0,0,0
1_51,1,Pilot-1,51,0,dinners,Polysemy,Barbara,2,NA,2631,Barbara,0,1,0,0
1_52,1,Pilot-1,52,1,trucks,Valid Filler,Dimatis,2,NA,2388,Dimatis,1,1,0,0
1_53,1,Pilot-1,53,0,spices,Invalid Filler,Dimatis*,2,NA,3249,Dimatis,0,1,0,0
1_54,1,Pilot-1,54,0,panels,Homonymy,Datisi,2,NA,2449,Datisi,0,1,0,0
1_55,1,Pilot-1,55,0,thieves,Invalid Filler,Dimatis*,2,NA,2466,Dimatis,0,1,0,0
1_56,1,Pilot-1,56,0,funerals,Invalid Filler,Datisi*,2,NA,2660,Datisi,0,1,0,0
1_57,1,Pilot-1,57,1,burgers,Valid Filler,Disamis,2,NA,2315,Disamis,1,1,0,0
1_58,1,Pilot-1,58,1,toilets,Invalid Filler,Disamis*,2,NA,3635,Disamis,0,0,0,0
1_59,1,Pilot-1,59,0,buildings,Invalid Filler,Barbara*,2,NA,2285,Barbara,0,1,0,0
1_60,1,Pilot-1,60,0,tapes,Homonymy,Darii,2,NA,2579,Darii,0,1,0,0
2_1,2,Pilot-1,1,0,boards,Homonymy,Dimatis,2,NA,5503,Dimatis,0,1,0,0
2_2,2,Pilot-1,2,1,clocks,Invalid Filler,Barbara*,2,NA,8286,Barbara,0,0,0,0
2_3,2,Pilot-1,3,1,whales,Valid Filler,Barbara,2,NA,8190,Barbara,1,1,0,0
2_4,2,Pilot-1,4,0,antiques,Invalid Filler,Darii*,2,NA,3080,Darii,0,1,0,0
2_5,2,Pilot-1,5,1,classes,Polysemy,Disamis,2,NA,6315,Disamis,0,0,0,0
2_6,2,Pilot-1,6,1,negotiations,Valid Filler,Barbara,2,NA,5312,Barbara,1,1,0,0
2_7,2,Pilot-1,7,0,columns,Homonymy,Datisi,2,NA,3415,Datisi,0,1,0,0
2_8,2,Pilot-1,8,0,arms,Homonymy,Disamis,2,NA,2800,Disamis,0,1,0,0
2_9,2,Pilot-1,9,0,stones,Invalid Filler,Datisi*,2,NA,5054,Datisi,0,1,0,0
2_10,2,Pilot-1,10,1,phones,Valid Filler,Barbara,2,NA,3405,Barbara,1,1,0,0
2_11,2,Pilot-1,11,1,actors,Invalid Filler,Datisi*,2,NA,4697,Datisi,0,0,0,0
2_12,2,Pilot-1,12,0,oil,Polysemy,Datisi,2,NA,3781,Datisi,0,1,0,0
2_13,2,Pilot-1,13,0,sausages,Invalid Filler,Datisi*,2,NA,5967,Datisi,0,1,0,0
2_14,2,Pilot-1,14,1,dolls,Valid Filler,Darii,2,NA,5606,Darii,1,1,0,0
2_15,2,Pilot-1,15,1,dates,Homonymy,Disamis,2,NA,18013,Disamis,0,0,0,0
2_16,2,Pilot-1,16,0,ponies,Valid Filler,Datisi,2,NA,2751,Datisi,1,0,0,0
2_17,2,Pilot-1,17,1,rifles,Valid Filler,Disamis,2,NA,2019,Disamis,1,1,0,0
2_18,2,Pilot-1,18,0,subscriptions,Polysemy,Darii,2,NA,2757,Darii,0,1,0,0
2_19,2,Pilot-1,19,1,liars,Valid Filler,Dimatis,2,NA,1760,Dimatis,1,1,0,0
2_20,2,Pilot-1,20,0,injuries,Invalid Filler,Dimatis*,2,NA,4794,Dimatis,0,1,0,0
2_21,2,Pilot-1,21,1,mugs,Valid Filler,Datisi,2,NA,2550,Datisi,1,1,0,0
2_22,2,Pilot-1,22,1,poets,Valid Filler,Datisi,2,NA,1644,Datisi,1,1,0,0
2_23,2,Pilot-1,23,0,newspapers,Polysemy,Dimatis,2,NA,3049,Dimatis,0,1,0,0
2_24,2,Pilot-1,24,0,books,Polysemy,Dimatis,2,NA,8198,Dimatis,0,1,0,0
2_25,2,Pilot-1,25,1,widows,Valid Filler,Dimatis,2,NA,1819,Dimatis,1,1,0,0
2_26,2,Pilot-1,26,0,dances,Invalid Filler,Darii*,2,NA,2226,Darii,0,1,0,0
2_27,2,Pilot-1,27,1,clowns,Valid Filler,Darii,2,NA,1981,Darii,1,1,0,0
2_28,2,Pilot-1,28,1,grapes,Valid Filler,Disamis,2,NA,1593,Disamis,1,1,0,0
2_29,2,Pilot-1,29,0,dreams,Polysemy,Barbara,2,NA,1703,Barbara,0,1,0,0
2_30,2,Pilot-1,30,1,swords,Valid Filler,Disamis,2,NA,2696,Disamis,1,1,0,0
2_31,2,Pilot-1,31,0,peppers,Invalid Filler,Dimatis*,2,NA,8398,Dimatis,0,1,0,0
2_32,2,Pilot-1,32,0,tracks,Homonymy,Darii,2,NA,6050,Darii,0,1,0,0
2_33,2,Pilot-1,33,1,singers,Valid Filler,Darii,2,NA,2267,Darii,1,1,0,0
2_34,2,Pilot-1,34,0,foundations,Homonymy,Dimatis,2,NA,1910,Dimatis,0,1,0,0
2_35,2,Pilot-1,35,0,movements,Homonymy,Barbara,2,NA,2165,Barbara,0,1,0,0
2_36,2,Pilot-1,36,1,doughnuts,Valid Filler,Darii,2,NA,1999,Darii,1,1,0,0
2_37,2,Pilot-1,37,1,steaks,Invalid Filler,Disamis*,2,NA,2122,Disamis,0,0,0,0
2_38,2,Pilot-1,38,0,examinations,Polysemy,Disamis,2,NA,4680,Disamis,0,1,0,0
2_39,2,Pilot-1,39,1,admissions,Homonymy,Barbara,2,NA,3150,Barbara,0,0,0,0
2_40,2,Pilot-1,40,1,sandwiches,Polysemy,Darii,2,NA,5447,Darii,0,0,0,0
2_41,2,Pilot-1,41,0,chickens,Polysemy,Datisi,2,NA,4599,Datisi,0,1,0,0
2_42,2,Pilot-1,42,1,dinosaurs,Valid Filler,Barbara,2,NA,4195,Barbara,1,1,0,0
2_43,2,Pilot-1,43,0,colors,Invalid Filler,Disamis*,2,NA,2858,Disamis,0,1,0,0
2_44,2,Pilot-1,44,0,mothers,Invalid Filler,Darii*,2,NA,5704,Darii,0,1,0,0
2_45,2,Pilot-1,45,1,suitcases,Valid Filler,Dimatis,2,NA,4676,Dimatis,1,1,0,0
2_46,2,Pilot-1,46,0,shapes,Invalid Filler,Disamis*,2,NA,2080,Disamis,0,1,0,0
2_47,2,Pilot-1,47,1,statues,Valid Filler,Datisi,2,NA,3211,Datisi,1,1,0,0
2_48,2,Pilot-1,48,0,organs,Invalid Filler,Barbara*,2,NA,3973,Barbara,0,1,0,0
2_49,2,Pilot-1,49,0,drivers,Invalid Filler,Barbara*,2,NA,2778,Barbara,0,1,0,0
2_50,2,Pilot-1,50,0,dresses,Invalid Filler,Darii*,2,NA,4663,Darii,0,1,0,0
2_51,2,Pilot-1,51,1,dinners,Polysemy,Barbara,2,NA,2652,Barbara,0,0,0,0
2_52,2,Pilot-1,52,1,trucks,Valid Filler,Dimatis,2,NA,1986,Dimatis,1,1,0,0
2_53,2,Pilot-1,53,0,spices,Invalid Filler,Dimatis*,2,NA,11112,Dimatis,0,1,0,0
2_54,2,Pilot-1,54,0,panels,Homonymy,Datisi,2,NA,2519,Datisi,0,1,0,0
2_55,2,Pilot-1,55,0,thieves,Invalid Filler,Dimatis*,2,NA,4379,Dimatis,0,1,0,0
2_56,2,Pilot-1,56,0,funerals,Invalid Filler,Datisi*,2,NA,4526,Datisi,0,1,0,0
2_57,2,Pilot-1,57,0,burgers,Valid Filler,Disamis,2,NA,11106,Disamis,1,0,0,0
2_58,2,Pilot-1,58,1,toilets,Invalid Filler,Disamis*,2,NA,4738,Disamis,0,0,0,0
2_59,2,Pilot-1,59,0,buildings,Invalid Filler,Barbara*,2,NA,2065,Barbara,0,1,0,0
2_60,2,Pilot-1,60,0,tapes,Homonymy,Darii,2,NA,1962,Darii,0,1,0,0
3_1,3,Pilot-1,1,1,mugs,Valid Filler,Datisi,1,NA,4456,Datisi,1,1,0,0
3_2,3,Pilot-1,2,1,burgers,Valid Filler,Disamis,1,NA,3215,Disamis,1,1,0,0
3_3,3,Pilot-1,3,0,dresses,Invalid Filler,Darii*,1,NA,8935,Darii,0,1,0,0
3_4,3,Pilot-1,4,1,trucks,Valid Filler,Dimatis,1,NA,4656,Dimatis,1,1,0,0
3_5,3,Pilot-1,5,1,poets,Valid Filler,Datisi,1,NA,4333,Datisi,1,1,0,0
3_6,3,Pilot-1,6,1,doughnuts,Valid Filler,Darii,1,NA,3982,Darii,1,1,0,0
3_7,3,Pilot-1,7,1,dolls,Valid Filler,Darii,1,NA,6538,Darii,1,1,0,0
3_8,3,Pilot-1,8,0,arms,Homonymy,Disamis,1,NA,4961,Disamis,0,1,0,0
3_9,3,Pilot-1,9,0,toilets,Invalid Filler,Disamis*,1,NA,4845,Disamis,0,1,0,0
3_10,3,Pilot-1,10,0,dinners,Polysemy,Barbara,1,NA,10459,Barbara,0,1,0,0
3_11,3,Pilot-1,11,1,rifles,Valid Filler,Disamis,1,NA,11614,Disamis,1,1,0,0
3_12,3,Pilot-1,12,0,chickens,Polysemy,Datisi,1,NA,5979,Datisi,0,1,0,0
3_13,3,Pilot-1,13,0,boards,Homonymy,Dimatis,1,NA,6436,Dimatis,0,1,0,0
3_14,3,Pilot-1,14,0,foundations,Homonymy,Dimatis,1,NA,11781,Dimatis,0,1,0,0
3_15,3,Pilot-1,15,0,panels,Homonymy,Datisi,1,NA,2712,Datisi,0,1,0,0
3_16,3,Pilot-1,16,0,oil,Polysemy,Datisi,1,NA,33987,Datisi,0,1,0,0
3_17,3,Pilot-1,17,0,dreams,Polysemy,Barbara,1,NA,5971,Barbara,0,1,0,0
3_18,3,Pilot-1,18,1,whales,Valid Filler,Barbara,1,NA,21264,Barbara,1,1,0,0
3_19,3,Pilot-1,19,1,spices,Invalid Filler,Dimatis*,1,NA,7483,Dimatis,0,0,0,0
3_20,3,Pilot-1,20,0,sandwiches,Polysemy,Darii,1,NA,5271,Darii,0,1,0,0
3_21,3,Pilot-1,21,0,admissions,Homonymy,Barbara,1,NA,6929,Barbara,0,1,0,0
3_22,3,Pilot-1,22,1,suitcases,Valid Filler,Dimatis,1,NA,4721,Dimatis,1,1,0,0
3_23,3,Pilot-1,23,1,peppers,Invalid Filler,Dimatis*,1,NA,6637,Dimatis,0,0,0,0
3_24,3,Pilot-1,24,1,colors,Invalid Filler,Disamis*,1,NA,7436,Disamis,0,0,0,0
3_25,3,Pilot-1,25,1,examinations,Polysemy,Disamis,1,NA,5135,Disamis,0,0,0,0
3_26,3,Pilot-1,26,0,tapes,Homonymy,Darii,1,NA,4426,Darii,0,1,0,0
3_27,3,Pilot-1,27,1,dinosaurs,Valid Filler,Barbara,1,NA,33024,Barbara,1,1,0,0
3_28,3,Pilot-1,28,1,phones,Valid Filler,Barbara,1,NA,2582,Barbara,1,1,0,0
3_29,3,Pilot-1,29,0,newspapers,Polysemy,Dimatis,1,NA,3163,Dimatis,0,1,0,0
3_30,3,Pilot-1,30,0,buildings,Invalid Filler,Barbara*,1,NA,4766,Barbara,0,1,0,0
3_31,3,Pilot-1,31,0,dates,Homonymy,Disamis,1,NA,4607,Disamis,0,1,0,0
3_32,3,Pilot-1,32,1,grapes,Valid Filler,Disamis,1,NA,3612,Disamis,1,1,0,0
3_33,3,Pilot-1,33,1,swords,Valid Filler,Disamis,1,NA,2536,Disamis,1,1,0,0
3_34,3,Pilot-1,34,1,ponies,Valid Filler,Datisi,1,NA,3621,Datisi,1,1,0,0
3_35,3,Pilot-1,35,1,statues,Valid Filler,Datisi,1,NA,2673,Datisi,1,1,0,0
3_36,3,Pilot-1,36,1,widows,Valid Filler,Dimatis,1,NA,2686,Dimatis,1,1,0,0
3_37,3,Pilot-1,37,1,steaks,Invalid Filler,Disamis*,1,NA,2429,Disamis,0,0,0,0
3_38,3,Pilot-1,38,1,clowns,Valid Filler,Darii,1,NA,2367,Darii,1,1,0,0
3_39,3,Pilot-1,39,1,injuries,Invalid Filler,Dimatis*,1,NA,4015,Dimatis,0,0,0,0
3_40,3,Pilot-1,40,1,thieves,Invalid Filler,Dimatis*,1,NA,5977,Dimatis,0,0,0,0
3_41,3,Pilot-1,41,1,tracks,Homonymy,Darii,1,NA,8223,Darii,0,0,0,0
3_42,3,Pilot-1,42,0,stones,Invalid Filler,Datisi*,1,NA,6297,Datisi,0,1,0,0
3_43,3,Pilot-1,43,0,columns,Homonymy,Datisi,1,NA,3921,Datisi,0,1,0,0
3_44,3,Pilot-1,44,0,movements,Homonymy,Barbara,1,NA,3437,Barbara,0,1,0,0
3_45,3,Pilot-1,45,0,organs,Invalid Filler,Barbara*,1,NA,7929,Barbara,0,1,0,0
3_46,3,Pilot-1,46,0,actors,Invalid Filler,Datisi*,1,NA,10173,Datisi,0,1,0,0
3_47,3,Pilot-1,47,0,subscriptions,Polysemy,Darii,1,NA,10549,Darii,0,1,0,0
3_48,3,Pilot-1,48,1,liars,Valid Filler,Dimatis,1,NA,2568,Dimatis,1,1,0,0
3_49,3,Pilot-1,49,1,classes,Polysemy,Disamis,1,NA,3669,Disamis,0,0,0,0
3_50,3,Pilot-1,50,0,negotiations,Valid Filler,Barbara,1,NA,6492,Barbara,1,0,0,0
3_51,3,Pilot-1,51,0,antiques,Invalid Filler,Darii*,1,NA,3840,Darii,0,1,0,0
3_52,3,Pilot-1,52,0,books,Polysemy,Dimatis,1,NA,31996,Dimatis,0,1,0,0
3_53,3,Pilot-1,53,0,dances,Invalid Filler,Darii*,1,NA,3441,Darii,0,1,0,0
3_54,3,Pilot-1,54,0,shapes,Invalid Filler,Disamis*,1,NA,3414,Disamis,0,1,0,0
3_55,3,Pilot-1,55,0,sausages,Invalid Filler,Datisi*,1,NA,3083,Datisi,0,1,0,0
3_56,3,Pilot-1,56,0,funerals,Invalid Filler,Datisi*,1,NA,14750,Datisi,0,1,0,0
3_57,3,Pilot-1,57,1,singers,Valid Filler,Darii,1,NA,8507,Darii,1,1,0,0
3_58,3,Pilot-1,58,0,mothers,Invalid Filler,Darii*,1,NA,4767,Darii,0,1,0,0
3_59,3,Pilot-1,59,0,clocks,Invalid Filler,Barbara*,1,NA,3593,Barbara,0,1,0,0
3_60,3,Pilot-1,60,0,drivers,Invalid Filler,Barbara*,1,NA,26778,Barbara,0,1,0,0
4_1,4,Pilot-1,1,0,boards,Homonymy,Dimatis,2,NA,5501,Dimatis,0,1,0,0
4_2,4,Pilot-1,2,0,clocks,Invalid Filler,Barbara*,2,NA,5594,Barbara,0,1,0,0
4_3,4,Pilot-1,3,1,whales,Valid Filler,Barbara,2,NA,4052,Barbara,1,1,0,0
4_4,4,Pilot-1,4,1,antiques,Invalid Filler,Darii*,2,NA,6025,Darii,0,0,0,0
4_5,4,Pilot-1,5,1,classes,Polysemy,Disamis,2,NA,5012,Disamis,0,0,0,0
4_6,4,Pilot-1,6,1,negotiations,Valid Filler,Barbara,2,NA,4516,Barbara,1,1,0,0
4_7,4,Pilot-1,7,0,columns,Homonymy,Datisi,2,NA,3565,Datisi,0,1,0,0
4_8,4,Pilot-1,8,0,arms,Homonymy,Disamis,2,NA,4158,Disamis,0,1,0,0
4_9,4,Pilot-1,9,0,stones,Invalid Filler,Datisi*,2,NA,3747,Datisi,0,1,0,0
4_10,4,Pilot-1,10,1,phones,Valid Filler,Barbara,2,NA,3308,Barbara,1,1,0,0
4_11,4,Pilot-1,11,1,actors,Invalid Filler,Datisi*,2,NA,6020,Datisi,0,0,0,0
4_12,4,Pilot-1,12,1,oil,Polysemy,Datisi,2,NA,4646,Datisi,0,0,0,0
4_13,4,Pilot-1,13,0,sausages,Invalid Filler,Datisi*,2,NA,4789,Datisi,0,1,0,0
4_14,4,Pilot-1,14,1,dolls,Valid Filler,Darii,2,NA,3037,Darii,1,1,0,0
4_15,4,Pilot-1,15,0,dates,Homonymy,Disamis,2,NA,4484,Disamis,0,1,0,0
4_16,4,Pilot-1,16,1,ponies,Valid Filler,Datisi,2,NA,3869,Datisi,1,1,0,0
4_17,4,Pilot-1,17,1,rifles,Valid Filler,Disamis,2,NA,3381,Disamis,1,1,0,0
4_18,4,Pilot-1,18,0,subscriptions,Polysemy,Darii,2,NA,3732,Darii,0,1,0,0
4_19,4,Pilot-1,19,1,liars,Valid Filler,Dimatis,2,NA,2612,Dimatis,1,1,0,0
4_20,4,Pilot-1,20,0,injuries,Invalid Filler,Dimatis*,2,NA,5675,Dimatis,0,1,0,0
4_21,4,Pilot-1,21,1,mugs,Valid Filler,Datisi,2,NA,4477,Datisi,1,1,0,0
4_22,4,Pilot-1,22,1,poets,Valid Filler,Datisi,2,NA,3142,Datisi,1,1,0,0
4_23,4,Pilot-1,23,0,newspapers,Polysemy,Dimatis,2,NA,6068,Dimatis,0,1,0,0
4_24,4,Pilot-1,24,0,books,Polysemy,Dimatis,2,NA,4045,Dimatis,0,1,0,0
4_25,4,Pilot-1,25,1,widows,Valid Filler,Dimatis,2,NA,19533,Dimatis,1,1,0,0
4_26,4,Pilot-1,26,1,dances,Invalid Filler,Darii*,2,NA,3909,Darii,0,0,0,0
4_27,4,Pilot-1,27,1,clowns,Valid Filler,Darii,2,NA,2717,Darii,1,1,0,0
4_28,4,Pilot-1,28,1,grapes,Valid Filler,Disamis,2,NA,3117,Disamis,1,1,0,0
4_29,4,Pilot-1,29,0,dreams,Polysemy,Barbara,2,NA,3942,Barbara,0,1,0,0
4_30,4,Pilot-1,30,1,swords,Valid Filler,Disamis,2,NA,4239,Disamis,1,1,0,0
4_31,4,Pilot-1,31,0,peppers,Invalid Filler,Dimatis*,2,NA,5693,Dimatis,0,1,0,0
4_32,4,Pilot-1,32,0,tracks,Homonymy,Darii,2,NA,5979,Darii,0,1,0,0
4_33,4,Pilot-1,33,1,singers,Valid Filler,Darii,2,NA,4636,Darii,1,1,0,0
4_34,4,Pilot-1,34,0,foundations,Homonymy,Dimatis,2,NA,4758,Dimatis,0,1,0,0
4_35,4,Pilot-1,35,0,movements,Homonymy,Barbara,2,NA,4140,Barbara,0,1,0,0
4_36,4,Pilot-1,36,1,doughnuts,Valid Filler,Darii,2,NA,3061,Darii,1,1,0,0
4_37,4,Pilot-1,37,1,steaks,Invalid Filler,Disamis*,2,NA,5133,Disamis,0,0,0,0
4_38,4,Pilot-1,38,1,examinations,Polysemy,Disamis,2,NA,35351,Disamis,0,0,0,0
4_39,4,Pilot-1,39,0,admissions,Homonymy,Barbara,2,NA,3867,Barbara,0,1,0,0
4_40,4,Pilot-1,40,0,sandwiches,Polysemy,Darii,2,NA,3629,Darii,0,1,0,0
4_41,4,Pilot-1,41,0,chickens,Polysemy,Datisi,2,NA,5181,Datisi,0,1,0,0
4_42,4,Pilot-1,42,1,dinosaurs,Valid Filler,Barbara,2,NA,3138,Barbara,1,1,0,0
4_43,4,Pilot-1,43,0,colors,Invalid Filler,Disamis*,2,NA,5662,Disamis,0,1,0,0
4_44,4,Pilot-1,44,0,mothers,Invalid Filler,Darii*,2,NA,9541,Darii,0,1,0,0
4_45,4,Pilot-1,45,1,suitcases,Valid Filler,Dimatis,2,NA,3028,Dimatis,1,1,0,0
4_46,4,Pilot-1,46,0,shapes,Invalid Filler,Disamis*,2,NA,3684,Disamis,0,1,0,0
4_47,4,Pilot-1,47,1,statues,Valid Filler,Datisi,2,NA,3277,Datisi,1,1,0,0
4_48,4,Pilot-1,48,0,organs,Invalid Filler,Barbara*,2,NA,3134,Barbara,0,1,0,0
4_49,4,Pilot-1,49,0,drivers,Invalid Filler,Barbara*,2,NA,3371,Barbara,0,1,0,0
4_50,4,Pilot-1,50,1,dresses,Invalid Filler,Darii*,2,NA,8013,Darii,0,0,0,0
4_51,4,Pilot-1,51,0,dinners,Polysemy,Barbara,2,NA,3125,Barbara,0,1,0,0
4_52,4,Pilot-1,52,1,trucks,Valid Filler,Dimatis,2,NA,2300,Dimatis,1,1,0,0
4_53,4,Pilot-1,53,1,spices,Invalid Filler,Dimatis*,2,NA,3949,Dimatis,0,0,0,0
4_54,4,Pilot-1,54,0,panels,Homonymy,Datisi,2,NA,6822,Datisi,0,1,0,0
4_55,4,Pilot-1,55,1,thieves,Invalid Filler,Dimatis*,2,NA,3811,Dimatis,0,0,0,0
4_56,4,Pilot-1,56,1,funerals,Invalid Filler,Datisi*,2,NA,3783,Datisi,0,0,0,0
4_57,4,Pilot-1,57,0,burgers,Valid Filler,Disamis,2,NA,4884,Disamis,1,0,0,0
4_58,4,Pilot-1,58,1,toilets,Invalid Filler,Disamis*,2,NA,3854,Disamis,0,0,0,0
4_59,4,Pilot-1,59,0,buildings,Invalid Filler,Barbara*,2,NA,2871,Barbara,0,1,0,0
4_60,4,Pilot-1,60,1,tapes,Homonymy,Darii,2,NA,4020,Darii,0,0,0,0
5_1,5,Pilot-1,1,0,boards,Homonymy,Dimatis,2,NA,3941,Dimatis,0,1,0,0
5_2,5,Pilot-1,2,0,clocks,Invalid Filler,Barbara*,2,NA,9506,Barbara,0,1,0,0
5_3,5,Pilot-1,3,1,whales,Valid Filler,Barbara,2,NA,4363,Barbara,1,1,0,0
5_4,5,Pilot-1,4,0,antiques,Invalid Filler,Darii*,2,NA,4116,Darii,0,1,0,0
5_5,5,Pilot-1,5,1,classes,Polysemy,Disamis,2,NA,4756,Disamis,0,0,0,0
5_6,5,Pilot-1,6,1,negotiations,Valid Filler,Barbara,2,NA,4196,Barbara,1,1,0,0
5_7,5,Pilot-1,7,0,columns,Homonymy,Datisi,2,NA,3481,Datisi,0,1,0,0
5_8,5,Pilot-1,8,0,arms,Homonymy,Disamis,2,NA,3316,Disamis,0,1,0,0
5_9,5,Pilot-1,9,0,stones,Invalid Filler,Datisi*,2,NA,4110,Datisi,0,1,0,0
5_10,5,Pilot-1,10,1,phones,Valid Filler,Barbara,2,NA,3806,Barbara,1,1,0,0
5_11,5,Pilot-1,11,1,actors,Invalid Filler,Datisi*,2,NA,3359,Datisi,0,0,0,0
5_12,5,Pilot-1,12,0,oil,Polysemy,Datisi,2,NA,3200,Datisi,0,1,0,0
5_13,5,Pilot-1,13,1,sausages,Invalid Filler,Datisi*,2,NA,5671,Datisi,0,0,0,0
5_14,5,Pilot-1,14,1,dolls,Valid Filler,Darii,2,NA,3428,Darii,1,1,0,0
5_15,5,Pilot-1,15,1,dates,Homonymy,Disamis,2,NA,8253,Disamis,0,0,0,0
