SubjTrial,SubjectID,ExpNum,ItemNum,Response,TargetWord,TrialType,Syllogism,ListNum,premise1,premise2,conclusion,digitMatch,RT,SyllogismSimple,ExpectedResponse,ResponseWasCorrect,excl.subj,excl.trial
1_43,1,Pilot-2,43,0,colors,Invalid Filler,Disamis*,2,Some colors are primary ,All shades of purple are colors ,Some shades of purple are primary,NA,5039,Disamis,0,1,0,0
1_44,1,Pilot-2,44,1,mothers,Invalid Filler,Darii*,2,All grandmothers are mothers ,Some teens are mothers,Some grandmothers are teens,NA,8269,Darii,0,0,0,0
1_45,1,Pilot-2,45,1,suitcases,Valid Filler,Dimatis,2,Some bags are suitcases,All suitcases are pieces of luggage,Some pieces of luggage are bags,NA,7852,Dimatis,1,1,0,0
1_46,1,Pilot-2,46,0,shapes,Invalid Filler,Disamis*,2,Some shapes are triangles,All squares are shapes,Some squares are triangles,NA,3714,Disamis,0,1,0,0
1_47,1,Pilot-2,47,1,statues,Valid Filler,Datisi,2,All statues are sculptures,Some statues are bronzes,Some bronzes are sculptures,NA,14487,Datisi,1,1,0,0
1_48,1,Pilot-2,48,0,organs,Invalid Filler,Barbara*,2,All hearts are organs ,All lungs are organs ,All lungs are hearts,NA,3991,Barbara,0,1,0,0
1_49,1,Pilot-2,49,0,drivers,Invalid Filler,Barbara*,2,All long-haul truckers are drivers,All chauffeurs are drivers,All chauffeurs are long-haul truckers ,NA,6416,Barbara,0,1,0,0
1_50,1,Pilot-2,50,1,dresses,Invalid Filler,Darii*,2,All ball gowns are dresses ,Some cocktail outfits are dresses,Some cocktail outfits are ball gowns,NA,7070,Darii,0,0,0,0
1_51,1,Pilot-2,51,1,dinners,Polysemy,Barbara,2,All dinners are after lunch,All Thanksgiving turkeys are dinners,All Thanksgiving turkeys are after lunch,NA,12992,Barbara,0,0,0,0
1_52,1,Pilot-2,52,1,trucks,Valid Filler,Dimatis,2,Some cars are trucks ,All trucks are vehicles,Some vehicles are cars ,NA,4093,Dimatis,1,1,0,0
1_53,1,Pilot-2,53,0,spices,Invalid Filler,Dimatis*,2,Some dried roots are spices ,All mustard seeds are spices ,Some mustard seeds are dried roots,NA,9532,Dimatis,0,1,0,0
1_54,1,Pilot-2,54,0,panels,Homonymy,Datisi,2,All panels have judges,Some panels are electronics,Some electronics have judges,NA,21886,Datisi,0,1,0,0
1_55,1,Pilot-2,55,1,thieves,Invalid Filler,Dimatis*,2,Some children are thieves,All mob bosses are thieves,Some mob bosses are children,NA,9721,Dimatis,0,0,0,0
1_56,1,Pilot-2,56,0,funerals,Invalid Filler,Datisi*,2,All open-casket services are funerals,Some funerals are cremations,Some cremations are open-casket services,NA,5721,Datisi,0,1,0,0
1_57,1,Pilot-2,57,1,burgers,Valid Filler,Disamis,2,Some burgers are overcooked ,All burgers are sandwiches,Some sandwiches are overcooked ,NA,5684,Disamis,1,1,0,0
1_58,1,Pilot-2,58,1,toilets,Invalid Filler,Disamis*,2,Some toilets are coed,All urinals are toilets,Some urinals are coed,NA,10374,Disamis,0,0,0,0
1_59,1,Pilot-2,59,0,buildings,Invalid Filler,Barbara*,2,All hotels are buildings ,All hospitals are buildings ,All hospitals are hotels ,NA,4262,Barbara,0,1,0,0
1_60,1,Pilot-2,60,0,tapes,Homonymy,Darii,2,All tapes are recordings,Some adhesives are tapes,Some adhesives are recordings,NA,6392,Darii,0,1,0,0
2_1,2,Pilot-2,1,1,mugs,Valid Filler,Datisi,1,All mugs are cups ,Some mugs are ceramics,Some ceramics are cups ,NA,10734,Datisi,1,1,1,1
2_2,2,Pilot-2,2,1,burgers,Valid Filler,Disamis,1,Some burgers are overcooked ,All burgers are sandwiches,Some sandwiches are overcooked ,NA,11301,Disamis,1,1,1,1
2_3,2,Pilot-2,3,1,dresses,Invalid Filler,Darii*,1,All ball gowns are dresses ,Some cocktail outfits are dresses,Some cocktail outfits are ball gowns,NA,12930,Darii,0,0,1,1
2_4,2,Pilot-2,4,1,trucks,Valid Filler,Dimatis,1,Some cars are trucks ,All trucks are vehicles,Some vehicles are cars ,NA,12176,Dimatis,1,1,1,1
2_5,2,Pilot-2,5,1,poets,Valid Filler,Datisi,1,All poets are writers ,Some poets are teachers,Some teachers are writers,NA,10886,Datisi,1,1,1,1
2_6,2,Pilot-2,6,1,doughnuts,Valid Filler,Darii,1,All doughnuts are sugary ,Some pastries are doughnuts ,Some pastries are sugary,NA,8024,Darii,1,1,1,1
2_7,2,Pilot-2,7,1,dolls,Valid Filler,Darii,1,All dolls are man made,Some toys are dolls ,Some toys are man made,NA,15964,Darii,1,1,1,1
2_8,2,Pilot-2,8,0,arms,Homonymy,Disamis,1,Some arms are high caliber,All arms have elbows,Some elbows are high caliber,NA,13305,Disamis,0,1,1,1
2_9,2,Pilot-2,9,1,toilets,Invalid Filler,Disamis*,1,Some toilets are coed,All urinals are toilets,Some urinals are coed,NA,10885,Disamis,0,0,1,1
2_10,2,Pilot-2,10,1,dinners,Polysemy,Barbara,1,All dinners are after lunch,All Thanksgiving turkeys are dinners,All Thanksgiving turkeys are after lunch,NA,15125,Barbara,0,0,1,1
2_11,2,Pilot-2,11,1,rifles,Valid Filler,Disamis,1,Some rifles are for hunting,All rifles are guns ,Some guns are for hunting,NA,5951,Disamis,1,1,1,1
2_12,2,Pilot-2,12,0,chickens,Polysemy,Datisi,1,All chickens lay eggs,Some chickens are roasts,Some roasts lay legs,NA,24223,Datisi,0,1,1,1
2_13,2,Pilot-2,13,1,boards,Homonymy,Dimatis,1,Some committees are boards,All boards are rectangles,Some rectangles are committees,NA,22507,Dimatis,0,0,1,1
2_14,2,Pilot-2,14,1,foundations,Homonymy,Dimatis,1,Some concrete slabs are foundations,All foundations are non-profits,Some non-profits are concrete slabs,NA,13281,Dimatis,0,0,1,1
2_15,2,Pilot-2,15,1,panels,Homonymy,Datisi,1,All panels have judges,Some panels are electronics,Some electronics have judges,NA,20058,Datisi,0,0,1,1
2_16,2,Pilot-2,16,1,oil,Polysemy,Datisi,1,All oil is extracted from the earth,Some oil is saturated fat,Some saturated fat is extracted from the earth,NA,6271,Datisi,0,0,1,1
2_17,2,Pilot-2,17,1,dreams,Polysemy,Barbara,1,All dreams are goals,All nightmares are dreams,All nightmares are goals,NA,36320,Barbara,0,0,1,1
2_18,2,Pilot-2,18,1,whales,Valid Filler,Barbara,1,All whales are mammals ,All orcas are whales ,All orcas are mammals,NA,7826,Barbara,1,1,1,1
2_19,2,Pilot-2,19,0,spices,Invalid Filler,Dimatis*,1,Some dried roots are spices ,All mustard seeds are spices ,Some mustard seeds are dried roots,NA,12472,Dimatis,0,1,1,1
2_20,2,Pilot-2,20,1,lunches,Polysemy,Darii,1,All lunches are less than three hours long,Some sandwiches are lunches,Some sandwiches are less than three hours long,NA,18576,Darii,0,0,1,1
2_21,2,Pilot-2,21,1,admissions,Homonymy,Barbara,1,All guilty pleas are admissions,All admissions are ticketed,All guilty pleas are ticketed,NA,7346,Barbara,0,0,1,1
2_22,2,Pilot-2,22,0,suitcases,Valid Filler,Dimatis,1,Some bags are suitcases,All suitcases are pieces of luggage,Some pieces of luggage are bags,NA,13401,Dimatis,1,0,1,1
2_23,2,Pilot-2,23,0,peppers,Invalid Filler,Dimatis*,1,Some yellow vegetables are peppers ,All jalapenos are peppers,Some jalapenos are yellow vegetables,NA,48704,Dimatis,0,1,1,1
2_24,2,Pilot-2,24,1,colors,Invalid Filler,Disamis*,1,Some colors are primary ,All shades of purple are colors ,Some shades of purple are primary,NA,24920,Disamis,0,0,1,1
2_25,2,Pilot-2,25,1,examinations,Polysemy,Disamis,1,Some examinations are life saving,All examinations are graded assignments,Some graded assignments are life saving,NA,76107,Disamis,0,0,1,1
2_26,2,Pilot-2,26,1,tapes,Homonymy,Darii,1,All tapes are recordings,Some adhesives are tapes,Some adhesives are recordings,NA,8867,Darii,0,0,1,1
2_27,2,Pilot-2,27,1,dinosaurs,Valid Filler,Barbara,1,All dinosaurs were reptiles,All pterodactyls are dinosaurs,All pterodactyls were reptiles ,NA,11518,Barbara,1,1,1,1
2_28,2,Pilot-2,28,1,phones,Valid Filler,Barbara,1,All phones can make calls ,All iPhones are phones ,All iPhones can make calls ,NA,5968,Barbara,1,1,1,1
2_29,2,Pilot-2,29,1,newspapers,Polysemy,Dimatis,1,Some recyclables are newspapers,All newspapers employ reporters,Some recyclables employ reporters,NA,14338,Dimatis,0,0,1,1
2_30,2,Pilot-2,30,0,buildings,Invalid Filler,Barbara*,1,All hotels are buildings ,All hospitals are buildings ,All hospitals are hotels ,NA,14532,Barbara,0,1,1,1
2_31,2,Pilot-2,31,1,dates,Homonymy,Disamis,1,Some dates are prime numbers,All dates are opportunities for romance,Some opportunities for romance are prime numbers,NA,9036,Disamis,0,0,1,1
2_32,2,Pilot-2,32,1,grapes,Valid Filler,Disamis,1,Some grapes are red ,All grapes are fruits ,Some fruits are red ,NA,3595,Disamis,1,1,1,1
2_33,2,Pilot-2,33,1,swords,Valid Filler,Disamis,1,Some swords are decorative,All swords are weapons ,Some weapons are decorative ,NA,8364,Disamis,1,1,1,1
2_34,2,Pilot-2,34,1,ponies,Valid Filler,Datisi,1,All ponies neigh,Some ponies are colts,Some colts neigh,NA,5525,Datisi,1,1,1,1
2_35,2,Pilot-2,35,1,statues,Valid Filler,Datisi,1,All statues are sculptures,Some statues are bronzes,Some bronzes are sculptures,NA,11664,Datisi,1,1,1,1
2_36,2,Pilot-2,36,1,widows,Valid Filler,Dimatis,1,Some mothers are widows ,All widows are women,Some women are mothers,NA,83556,Dimatis,1,1,1,1
2_37,2,Pilot-2,37,1,steaks,Invalid Filler,Disamis*,1,Some steaks are filet mignons,All ribeyes are steaks,Some ribeyes are filet mignons,NA,10252,Disamis,0,0,1,1
2_38,2,Pilot-2,38,1,clowns,Valid Filler,Darii,1,All clowns can juggle ,Some circus performers are clowns ,Some circus performers can juggle,NA,9124,Darii,1,1,1,1
2_39,2,Pilot-2,39,1,injuries,Invalid Filler,Dimatis*,1,Some sunburns are injuries,All cases of frostbite are injuries,Some cases of frostbite are sunburns,NA,11030,Dimatis,0,0,1,1
2_40,2,Pilot-2,40,1,thieves,Invalid Filler,Dimatis*,1,Some children are thieves,All mob bosses are thieves,Some mob bosses are children,NA,9068,Dimatis,0,0,1,1
2_41,2,Pilot-2,41,1,tracks,Homonymy,Darii,1,All tracks are prints left by animals,Some race courses are tracks ,Some race courses are prints left by animals,NA,11592,Darii,0,0,1,1
2_42,2,Pilot-2,42,1,stones,Invalid Filler,Datisi*,1,All pebbles are stones,Some stones are boulders,Some boulders are pebbles,NA,14610,Datisi,0,0,1,1
2_43,2,Pilot-2,43,1,columns,Homonymy,Datisi,1,All columns are architectural,Some columns are gossip articles,Some gossip articles are architectural,NA,10053,Datisi,0,0,1,1
2_44,2,Pilot-2,44,1,movements,Homonymy,Barbara,1,All movements aim for social change,All reflexes are movements,All reflexes aim for social change,NA,6576,Barbara,0,0,1,1
2_45,2,Pilot-2,45,0,organs,Invalid Filler,Barbara*,1,All hearts are organs ,All lungs are organs ,All lungs are hearts,NA,8267,Barbara,0,1,1,1
2_46,2,Pilot-2,46,1,actors,Invalid Filler,Datisi*,1,All male leads are actors,Some actors are women,Some women are male leads,NA,21034,Datisi,0,0,1,1
2_47,2,Pilot-2,47,1,magazines,Polysemy,Darii,1,All magazines are flammable,Some subscriptions are magazines,Some subscriptions are flammable,NA,4038,Darii,0,0,1,1
2_48,2,Pilot-2,48,1,liars,Valid Filler,Dimatis,1,Some criminals are liars ,All liars are humans,Some humans are criminals ,NA,8531,Dimatis,1,1,1,1
2_49,2,Pilot-2,49,1,classes,Polysemy,Disamis,1,Some classes are an hour long,All classes are groups of students,Some groups of students are an hour long,NA,7666,Disamis,0,0,1,1
2_50,2,Pilot-2,50,1,negotiations,Valid Filler,Barbara,1,All negotiations aim to reach agreement  ,All union bargainings are negotiations ,All union bargainings aim to reach agreement,NA,5661,Barbara,1,1,1,1
2_51,2,Pilot-2,51,1,antiques,Invalid Filler,Darii*,1,All medieval manuscripts are antiques ,Some pieces of jewelry are antiques ,Some pieces of jewelry are medieval manuscripts,NA,9099,Darii,0,0,1,1
2_52,2,Pilot-2,52,1,books,Polysemy,Dimatis,1,Some doorstops are books,All books are intellectual property,Some intellectual property is a doorstop,NA,5807,Dimatis,0,0,1,1
2_53,2,Pilot-2,53,1,dances,Invalid Filler,Darii*,1,All polkas are dances ,Some mating rituals are dances ,Some mating rituals are polkas ,NA,6384,Darii,0,0,1,1
2_54,2,Pilot-2,54,1,shapes,Invalid Filler,Disamis*,1,Some shapes are triangles,All squares are shapes,Some squares are triangles,NA,7361,Disamis,0,0,1,1
2_55,2,Pilot-2,55,1,sausages,Invalid Filler,Datisi*,1,All hot dogs are sausages,Some sausages are salamis,Some hot dogs are salamis,NA,16694,Datisi,0,0,1,1
2_56,2,Pilot-2,56,1,funerals,Invalid Filler,Datisi*,1,All open-casket services are funerals,Some funerals are cremations,Some cremations are open-casket services,NA,7040,Datisi,0,0,1,1
2_57,2,Pilot-2,57,1,singers,Valid Filler,Darii,1,All singers have an ideal vocal range ,Some guitarists are singers,Some guitarists have an ideal vocal range,NA,5455,Darii,1,1,1,1
2_58,2,Pilot-2,58,1,mothers,Invalid Filler,Darii*,1,All grandmothers are mothers ,Some teens are mothers,Some grandmothers are teens,NA,6608,Darii,0,0,1,1
2_59,2,Pilot-2,59,0,clocks,Invalid Filler,Barbara*,1,All watches are clocks ,All sundials are clocks ,All watches are sundials ,NA,11304,Barbara,0,1,1,1
2_60,2,Pilot-2,60,0,drivers,Invalid Filler,Barbara*,1,All long-haul truckers are drivers,All chauffeurs are drivers,All chauffeurs are long-haul truckers ,NA,7813,Barbara,0,1,1,1
3_1,3,Pilot-2,1,0,mugs,Valid Filler,Datisi,1,All mugs are cups ,Some mugs are ceramics,Some ceramics are cups ,NA,12799,Datisi,1,0,0,0
3_2,3,Pilot-2,2,1,burgers,Valid Filler,Disamis,1,Some burgers are overcooked ,All burgers are sandwiches,Some sandwiches are overcooked ,NA,16727,Disamis,1,1,0,0
3_3,3,Pilot-2,3,0,dresses,Invalid Filler,Darii*,1,All ball gowns are dresses ,Some cocktail outfits are dresses,Some cocktail outfits are ball gowns,NA,7515,Darii,0,1,0,0
3_4,3,Pilot-2,4,0,trucks,Valid Filler,Dimatis,1,Some cars are trucks ,All trucks are vehicles,Some vehicles are cars ,NA,21166,Dimatis,1,0,0,0
3_5,3,Pilot-2,5,1,poets,Valid Filler,Datisi,1,All poets are writers ,Some poets are teachers,Some teachers are writers,NA,6796,Datisi,1,1,0,0
3_6,3,Pilot-2,6,1,doughnuts,Valid Filler,Darii,1,All doughnuts are sugary ,Some pastries are doughnuts ,Some pastries are sugary,NA,7081,Darii,1,1,0,0
3_7,3,Pilot-2,7,1,dolls,Valid Filler,Darii,1,All dolls are man made,Some toys are dolls ,Some toys are man made,NA,8743,Darii,1,1,0,0
3_8,3,Pilot-2,8,0,arms,Homonymy,Disamis,1,Some arms are high caliber,All arms have elbows,Some elbows are high caliber,NA,14594,Disamis,0,1,0,0
3_9,3,Pilot-2,9,0,toilets,Invalid Filler,Disamis*,1,Some toilets are coed,All urinals are toilets,Some urinals are coed,NA,8952,Disamis,0,1,0,0
3_10,3,Pilot-2,10,1,dinners,Polysemy,Barbara,1,All dinners are after lunch,All Thanksgiving turkeys are dinners,All Thanksgiving turkeys are after lunch,NA,10120,Barbara,0,0,0,0
3_11,3,Pilot-2,11,1,rifles,Valid Filler,Disamis,1,Some rifles are for hunting,All rifles are guns ,Some guns are for hunting,NA,6265,Disamis,1,1,0,0
3_12,3,Pilot-2,12,1,chickens,Polysemy,Datisi,1,All chickens lay eggs,Some chickens are roasts,Some roasts lay legs,NA,10780,Datisi,0,0,0,0
3_13,3,Pilot-2,13,0,boards,Homonymy,Dimatis,1,Some committees are boards,All boards are rectangles,Some rectangles are committees,NA,17623,Dimatis,0,1,0,0
3_14,3,Pilot-2,14,0,foundations,Homonymy,Dimatis,1,Some concrete slabs are foundations,All foundations are non-profits,Some non-profits are concrete slabs,NA,17180,Dimatis,0,1,0,0
3_15,3,Pilot-2,15,1,panels,Homonymy,Datisi,1,All panels have judges,Some panels are electronics,Some electronics have judges,NA,11058,Datisi,0,0,0,0
3_16,3,Pilot-2,16,1,oil,Polysemy,Datisi,1,All oil is extracted from the earth,Some oil is saturated fat,Some saturated fat is extracted from the earth,NA,14329,Datisi,0,0,0,0
3_17,3,Pilot-2,17,1,dreams,Polysemy,Barbara,1,All dreams are goals,All nightmares are dreams,All nightmares are goals,NA,34509,Barbara,0,0,0,0
3_18,3,Pilot-2,18,1,whales,Valid Filler,Barbara,1,All whales are mammals ,All orcas are whales ,All orcas are mammals,NA,4775,Barbara,1,1,0,0
3_19,3,Pilot-2,19,0,spices,Invalid Filler,Dimatis*,1,Some dried roots are spices ,All mustard seeds are spices ,Some mustard seeds are dried roots,NA,7353,Dimatis,0,1,0,0
3_20,3,Pilot-2,20,0,lunches,Polysemy,Darii,1,All lunches are less than three hours long,Some sandwiches are lunches,Some sandwiches are less than three hours long,NA,11273,Darii,0,1,0,0
3_21,3,Pilot-2,21,1,admissions,Homonymy,Barbara,1,All guilty pleas are admissions,All admissions are ticketed,All guilty pleas are ticketed,NA,8233,Barbara,0,0,0,0
3_22,3,Pilot-2,22,1,suitcases,Valid Filler,Dimatis,1,Some bags are suitcases,All suitcases are pieces of luggage,Some pieces of luggage are bags,NA,17686,Dimatis,1,1,0,0
3_23,3,Pilot-2,23,0,peppers,Invalid Filler,Dimatis*,1,Some yellow vegetables are peppers ,All jalapenos are peppers,Some jalapenos are yellow vegetables,NA,11643,Dimatis,0,1,0,0
3_24,3,Pilot-2,24,0,colors,Invalid Filler,Disamis*,1,Some colors are primary ,All shades of purple are colors ,Some shades of purple are primary,NA,9003,Disamis,0,1,0,0
3_25,3,Pilot-2,25,1,examinations,Polysemy,Disamis,1,Some examinations are life saving,All examinations are graded assignments,Some graded assignments are life saving,NA,14173,Disamis,0,0,0,0
3_26,3,Pilot-2,26,1,tapes,Homonymy,Darii,1,All tapes are recordings,Some adhesives are tapes,Some adhesives are recordings,NA,10132,Darii,0,0,0,0
3_27,3,Pilot-2,27,1,dinosaurs,Valid Filler,Barbara,1,All dinosaurs were reptiles,All pterodactyls are dinosaurs,All pterodactyls were reptiles ,NA,5200,Barbara,1,1,0,0
3_28,3,Pilot-2,28,1,phones,Valid Filler,Barbara,1,All phones can make calls ,All iPhones are phones ,All iPhones can make calls ,NA,5009,Barbara,1,1,0,0
3_29,3,Pilot-2,29,1,newspapers,Polysemy,Dimatis,1,Some recyclables are newspapers,All newspapers employ reporters,Some recyclables employ reporters,NA,12199,Dimatis,0,0,0,0
3_30,3,Pilot-2,30,0,buildings,Invalid Filler,Barbara*,1,All hotels are buildings ,All hospitals are buildings ,All hospitals are hotels ,NA,6457,Barbara,0,1,0,0
3_31,3,Pilot-2,31,1,dates,Homonymy,Disamis,1,Some dates are prime numbers,All dates are opportunities for romance,Some opportunities for romance are prime numbers,NA,18068,Disamis,0,0,0,0
3_32,3,Pilot-2,32,1,grapes,Valid Filler,Disamis,1,Some grapes are red ,All grapes are fruits ,Some fruits are red ,NA,8771,Disamis,1,1,0,0
3_33,3,Pilot-2,33,1,swords,Valid Filler,Disamis,1,Some swords are decorative,All swords are weapons ,Some weapons are decorative ,NA,4962,Disamis,1,1,0,0
3_34,3,Pilot-2,34,1,ponies,Valid Filler,Datisi,1,All ponies neigh,Some ponies are colts,Some colts neigh,NA,7806,Datisi,1,1,0,0
3_35,3,Pilot-2,35,1,statues,Valid Filler,Datisi,1,All statues are sculptures,Some statues are bronzes,Some bronzes are sculptures,NA,14897,Datisi,1,1,0,0
3_36,3,Pilot-2,36,1,widows,Valid Filler,Dimatis,1,Some mothers are widows ,All widows are women,Some women are mothers,NA,21787,Dimatis,1,1,0,0
3_37,3,Pilot-2,37,0,steaks,Invalid Filler,Disamis*,1,Some steaks are filet mignons,All ribeyes are steaks,Some ribeyes are filet mignons,NA,8625,Disamis,0,1,0,0
3_38,3,Pilot-2,38,1,clowns,Valid Filler,Darii,1,All clowns can juggle ,Some circus performers are clowns ,Some circus performers can juggle,NA,7252,Darii,1,1,0,0
